year;month;m;temperature
1929;4;apr;4.5
1929;5;mai;13.1
1929;6;jun;14.5
1929;7;jul;17.5
1929;8;aug;17.1
1929;9;sep;15.5
1929;10;oct;9.7
1929;11;nov;4.7
1929;12;dec;3.5
1930;1;jan;2.3
1930;2;feb;-0.2
1930;3;mar;4.2
1930;4;apr;8.3
1930;5;mai;11.6
1930;6;jun;18.2
1930;7;jul;16.3
1930;8;aug;15.9
1930;9;sep;13.2
1930;10;oct;8.7
1930;11;nov;5.9
1930;12;dec;0.6
1931;1;jan;0.2
1931;2;feb;-1.2
1931;3;mar;0.2
1931;4;apr;5.8
1931;5;mai;15.1
1931;6;jun;16.1
1931;7;jul;16.8
1931;8;aug;15.4
1931;9;sep;10.2
1931;10;oct;7.3
1931;11;nov;4.6
1931;12;dec;0.1
1932;1;jan;1.8
1932;2;feb;-1.9
1932;3;mar;0.8
1932;4;apr;7
1932;5;mai;12.5
1932;6;jun;14.6
1932;7;jul;17.9
1932;8;aug;18.7
1932;9;sep;15
1932;10;oct;8.5
1932;11;nov;4.2
1932;12;dec;0.8
1933;1;jan;-2.6
1933;2;feb;0.1
1933;3;mar;5.1
1933;4;apr;7
1933;5;mai;11.5
1933;6;jun;14.3
1933;7;jul;18.1
1933;8;aug;16.9
1933;9;sep;13.5
1933;10;oct;8.8
1933;11;nov;2.5
1933;12;dec;-3.9
1934;1;jan;0.4
1934;2;feb;1.2
1934;3;mar;4.1
1934;4;apr;10.3
1934;5;mai;13.3
1934;6;jun;16.4
1934;7;jul;18.3
1934;8;aug;16.4
1934;9;sep;15.6
1934;10;oct;9.6
1934;11;nov;4.1
1934;12;dec;4.8
1935;1;jan;-0.8
1935;2;feb;1.9
1935;3;mar;2.7
1935;4;apr;7.3
1935;5;mai;10.5
1935;6;jun;17.2
1935;7;jul;17.8
1935;8;aug;16.6
1935;9;sep;13.7
1935;10;oct;8.6
1935;11;nov;5.2
1935;12;dec;0.4
1936;1;jan;3.1
1936;2;feb;0.2
1936;3;mar;5
1936;4;apr;6.2
1936;5;mai;12.3
1936;6;jun;16.2
1936;7;jul;16.8
1936;8;aug;16.2
1936;9;sep;13
1936;10;oct;6.4
1936;11;nov;3.8
1936;12;dec;1.5
1937;1;jan;-0.8
1937;2;feb;2.2
1937;3;mar;2.9
1937;4;apr;8
1937;5;mai;14.7
1937;6;jun;16.3
1937;7;jul;17.1
1937;8;aug;17.1
1937;9;sep;13.3
1937;10;oct;9.4
1937;11;nov;3.3
1937;12;dec;-0.5
1938;1;jan;1.7
1938;2;feb;0.9
1938;3;mar;6.9
1938;4;apr;5
1938;5;mai;10.7
1938;6;jun;16
1938;7;jul;16.7
1938;8;aug;17.7
1938;9;sep;13.8
1938;10;oct;8.7
1938;11;nov;7
1938;12;dec;-1.9
1939;1;jan;2.6
1939;2;feb;1.6
1939;3;mar;1.7
1939;4;apr;8.6
1939;5;mai;10.5
1939;6;jun;16.3
1939;7;jul;17
1939;8;aug;17.5
1939;9;sep;13.4
1939;10;oct;6.5
1939;11;nov;5.5
1939;12;dec;-1.6
1940;1;jan;-9
1940;2;feb;-4.3
1940;3;mar;2.7
1940;4;apr;7.9
1940;5;mai;12.2
1940;6;jun;16.7
1940;7;jul;16.2
1940;8;aug;14.5
1940;9;sep;12.4
1940;10;oct;7.6
1940;11;nov;5.4
1940;12;dec;-2.8
1941;1;jan;-5.4
1941;2;feb;-0.2
1941;3;mar;3.2
1941;4;apr;5.5
1941;5;mai;9.2
1941;6;jun;16.3
1941;7;jul;18.5
1941;8;aug;15
1941;9;sep;12.3
1941;10;oct;8
1941;11;nov;2
1941;12;dec;1.5
1942;1;jan;-7.9
1942;2;feb;-5.4
1942;3;mar;1.4
1942;4;apr;7.5
1942;5;mai;12.1
1942;6;jun;14.4
1942;7;jul;16.1
1942;8;aug;17.6
1942;9;sep;15.1
1942;10;oct;11.1
1942;11;nov;3.3
1942;12;dec;2.1
1943;1;jan;-0.4
1943;2;feb;2.9
1943;3;mar;5.6
1943;4;apr;9.3
1943;5;mai;12.8
1943;6;jun;14.4
1943;7;jul;17.7
1943;8;aug;17.9
1943;9;sep;13.8
1943;10;oct;9.9
1943;11;nov;2.7
1943;12;dec;0.2
1944;1;jan;3.1
1944;2;feb;-1.1
1944;3;mar;0.9
1944;4;apr;8.6
1944;5;mai;11.6
1944;6;jun;14.2
1944;7;jul;17.4
1944;8;aug;19.6
1944;9;sep;12.8
1944;10;oct;8.6
1944;11;nov;4.1
1944;12;dec;-0.4
1945;1;jan;-4
1945;2;feb;4
1945;3;mar;6
1945;4;apr;8.8
1945;5;mai;14
1945;6;jun;16.6
1945;7;jul;17.9
1945;8;aug;16.2
1945;9;sep;13.8
1945;10;oct;9.7
1945;11;nov;3.6
1945;12;dec;1.3
1946;1;jan;-1.8
1946;2;feb;2.4
1946;3;mar;3.7
1946;4;apr;10.2
1946;5;mai;13.9
1946;6;jun;14.7
1946;7;jul;18.4
1946;8;aug;16.2
1946;9;sep;14.1
1946;10;oct;7
1946;11;nov;4
1946;12;dec;-2.3
1947;1;jan;-4.7
1947;2;feb;-6.6
1947;3;mar;2.6
1947;4;apr;9.4
1947;5;mai;14.7
1947;6;jun;17.9
1947;7;jul;18.9
1947;8;aug;18.9
1947;9;sep;16.8
1947;10;oct;7.7
1947;11;nov;5.2
1947;12;dec;1.4
1948;1;jan;3.1
1948;2;feb;0.5
1948;3;mar;5.7
1948;4;apr;10
1948;5;mai;13.6
1948;6;jun;15.6
1948;7;jul;16.2
1948;8;aug;16.4
1948;9;sep;13.8
1948;10;oct;8.7
1948;11;nov;4.2
1948;12;dec;0.9
1949;1;jan;1.2
1949;2;feb;1.7
1949;3;mar;2
1949;4;apr;10.3
1949;5;mai;12.2
1949;6;jun;14.1
1949;7;jul;17.6
1949;8;aug;17
1949;9;sep;16.3
1949;10;oct;10.6
1949;11;nov;3.7
1949;12;dec;3
1950;1;jan;-1
1950;2;feb;2.9
1950;3;mar;4.8
1950;4;apr;6.7
1950;5;mai;13.8
1950;6;jun;17.6
1950;7;jul;18
1950;8;aug;17.5
1950;9;sep;12.9
1950;10;oct;7.8
1950;11;nov;4.3
1950;12;dec;-2
1951;1;jan;1.5
1951;2;feb;1.8
1951;3;mar;2.2
1951;4;apr;7.3
1951;5;mai;11.5
1951;6;jun;15.3
1951;7;jul;17.1
1951;8;aug;17.2
1951;9;sep;14.5
1951;10;oct;7.3
1951;11;nov;6.5
1951;12;dec;2.5
1952;1;jan;0.2
1952;2;feb;-0.1
1952;3;mar;2.6
1952;4;apr;10.3
1952;5;mai;12.3
1952;6;jun;15.2
1952;7;jul;18.3
1952;8;aug;17.8
1952;9;sep;10.5
1952;10;oct;7.2
1952;11;nov;1.6
1952;12;dec;-0.5
1953;1;jan;-0.8
1953;2;feb;-0.1
1953;3;mar;4.8
1953;4;apr;9
1953;5;mai;13.2
1953;6;jun;16.1
1953;7;jul;17.4
1953;8;aug;16.4
1953;9;sep;13.5
1953;10;oct;10.4
1953;11;nov;4.8
1953;12;dec;2.5
1954;1;jan;-3.2
1954;2;feb;-3.5
1954;3;mar;4.3
1954;4;apr;5.8
1954;5;mai;12.2
1954;6;jun;16
1954;7;jul;14.4
1954;8;aug;15.7
1954;9;sep;13.5
1954;10;oct;9.9
1954;11;nov;4
1954;12;dec;3.2
1955;1;jan;-1.7
1955;2;feb;-1.9
1955;3;mar;0.4
1955;4;apr;6.9
1955;5;mai;10.3
1955;6;jun;14.5
1955;7;jul;17.3
1955;8;aug;16.8
1955;9;sep;13.4
1955;10;oct;8
1955;11;nov;3.8
1955;12;dec;2.6
1956;1;jan;0.2
1956;2;feb;-9.62
1956;3;mar;2.9
1956;4;apr;5.3
1956;5;mai;12.5
1956;6;jun;13.2
1956;7;jul;16.9
1956;8;aug;14.1
1956;9;sep;13.8
1956;10;oct;8.2
1956;11;nov;2.5
1956;12;dec;2
1957;1;jan;0.3
1957;2;feb;3.8
1957;3;mar;6.4
1957;4;apr;7.5
1957;5;mai;9.7
1957;6;jun;16.7
1957;7;jul;17.7
1957;8;aug;15.1
1957;9;sep;11.8
1957;10;oct;9.1
1957;11;nov;4.5
1957;12;dec;0.5
1958;1;jan;-0.4
1958;2;feb;1.9
1958;3;mar;-0.3
1958;4;apr;5.2
1958;5;mai;13.3
1958;6;jun;14.5
1958;7;jul;16.9
1958;8;aug;16.9
1958;9;sep;14.5
1958;10;oct;9.3
1958;11;nov;4.3
1958;12;dec;2.4
1959;1;jan;-0.1
1959;2;feb;-0.1
1959;3;mar;6.2
1959;4;apr;9.4
1959;5;mai;12.7
1959;6;jun;16.1
1959;7;jul;19.3
1959;8;aug;17.3
1959;9;sep;13.5
1959;10;oct;8.4
1959;11;nov;3.3
1959;12;dec;2.2
1960;1;jan;-0.1
1960;2;feb;-0.1
1960;3;mar;6.2
1960;4;apr;7.4
1960;5;mai;12.8
1960;6;jun;16.2
1960;7;jul;15.4
1960;8;aug;15.8
1960;9;sep;12.5
1960;10;oct;9.1
1960;11;nov;6
1960;12;dec;1.2
1961;1;jan;-0.8
1961;2;feb;4.4
1961;3;mar;6
1961;4;apr;10.6
1961;5;mai;10.3
1961;6;jun;16
1961;7;jul;15.1
1961;8;aug;15.7
1961;9;sep;16.3
1961;10;oct;10.5
1961;11;nov;3.7
1961;12;dec;-0.6
1962;1;jan;1.7
1962;2;feb;0.3
1962;3;mar;0.2
1962;4;apr;8.2
1962;5;mai;9.7
1962;6;jun;14.2
1962;7;jul;15
1962;8;aug;15.8
1962;9;sep;12.3
1962;10;oct;8.9
1962;11;nov;2.7
1962;12;dec;-3.3
1963;1;jan;-7.4
1963;2;feb;-5.7
1963;3;mar;2.4
1963;4;apr;8.4
1963;5;mai;12
1963;6;jun;15.8
1963;7;jul;17.7
1963;8;aug;15.9
1963;9;sep;13.7
1963;10;oct;8.1
1963;11;nov;7.4
1963;12;dec;-3.1
1964;1;jan;-2.6
1964;2;feb;0.6
1964;3;mar;0.6
1964;4;apr;8.6
1964;5;mai;13.6
1964;6;jun;16.9
1964;7;jul;18.1
1964;8;aug;15.9
1964;9;sep;13.6
1964;10;oct;7.1
1964;11;nov;4.9
1964;12;dec;0.4
1965;1;jan;1.2
1965;2;feb;-1.8
1965;3;mar;2.3
1965;4;apr;6.7
1965;5;mai;11.2
1965;6;jun;15.5
1965;7;jul;15
1965;8;aug;14.9
1965;9;sep;12.7
1965;10;oct;8.1
1965;11;nov;1.3
1965;12;dec;2.6
1966;1;jan;-2.7
1966;2;feb;3.5
1966;3;mar;3.3
1966;4;apr;8.6
1966;5;mai;13
1966;6;jun;16.9
1966;7;jul;15.6
1966;8;aug;15.5
1966;9;sep;13.2
1966;10;oct;11.1
1966;11;nov;2.2
1966;12;dec;2
1967;1;jan;0.7
1967;2;feb;2.8
1967;3;mar;5.4
1967;4;apr;6.5
1967;5;mai;12.5
1967;6;jun;14.7
1967;7;jul;18.6
1967;8;aug;16.4
1967;9;sep;13.8
1967;10;oct;11.1
1967;11;nov;3.8
1967;12;dec;0.4
1968;1;jan;-1.1
1968;2;feb;0.7
1968;3;mar;4.4
1968;4;apr;9
1968;5;mai;10.9
1968;6;jun;16
1968;7;jul;16.2
1968;8;aug;16.4
1968;9;sep;13.4
1968;10;oct;10.2
1968;11;nov;3.7
1968;12;dec;-2
1969;1;jan;0.4
1969;2;feb;-2.1
1969;3;mar;0.9
1969;4;apr;7
1969;5;mai;12.9
1969;6;jun;14.8
1969;7;jul;18.4
1969;8;aug;16.5
1969;9;sep;13.8
1969;10;oct;10
1969;11;nov;5.1
1969;12;dec;-4.7
1970;1;jan;-2.6
1970;2;feb;-1.1
1970;3;mar;1.2
1970;4;apr;5.3
1970;5;mai;11.4
1970;6;jun;17.2
1970;7;jul;16.1
1970;8;aug;16.8
1970;9;sep;13.2
1970;10;oct;8.9
1970;11;nov;5.8
1970;12;dec;0.5
1971;1;jan;-1.1
1971;2;feb;1.4
1971;3;mar;1
1971;4;apr;8.2
1971;5;mai;14
1971;6;jun;13.9
1971;7;jul;18
1971;8;aug;17.8
1971;9;sep;12
1971;10;oct;8.8
1971;11;nov;3.5
1971;12;dec;3.6
1972;1;jan;-2.3
1972;2;feb;1.9
1972;3;mar;5.3
1972;4;apr;7.2
1972;5;mai;11.3
1972;6;jun;14.4
1972;7;jul;17.7
1972;8;aug;15.7
1972;9;sep;10.7
1972;10;oct;6.8
1972;11;nov;4.3
1972;12;dec;0.8
1973;1;jan;0
1973;2;feb;1
1973;3;mar;3.9
1973;4;apr;5.1
1973;5;mai;12.5
1973;6;jun;16.1
1973;7;jul;17.2
1973;8;aug;17.7
1973;9;sep;14.1
1973;10;oct;7.3
1973;11;nov;3.3
1973;12;dec;0.2
1974;1;jan;3.3
1974;2;feb;3.2
1974;3;mar;5.6
1974;4;apr;7.9
1974;5;mai;11
1974;6;jun;14.1
1974;7;jul;15.3
1974;8;aug;17.1
1974;9;sep;13.2
1974;10;oct;5.5
1974;11;nov;4.9
1974;12;dec;4.8
1975;1;jan;4.5
1975;2;feb;1.4
1975;3;mar;3.6
1975;4;apr;6.8
1975;5;mai;11.8
1975;6;jun;14.7
1975;7;jul;18.2
1975;8;aug;18.8
1975;9;sep;15.5
1975;10;oct;7.5
1975;11;nov;3.1
1975;12;dec;1.2
1976;1;jan;1.2
1976;2;feb;0.5
1976;3;mar;1.3
1976;4;apr;6.9
1976;5;mai;12.8
1976;6;jun;17.4
1976;7;jul;19.3
1976;8;aug;16.2
1976;9;sep;12.7
1976;10;oct;9.5
1976;11;nov;4.8
1976;12;dec;-1
1977;1;jan;0.4
1977;2;feb;3
1977;3;mar;6.1
1977;4;apr;5.6
1977;5;mai;11.7
1977;6;jun;15.5
1977;7;jul;16.5
1977;8;aug;15.9
1977;9;sep;11.9
1977;10;oct;10.1
1977;11;nov;5.1
1977;12;dec;2.1
1978;1;jan;0.7
1978;2;feb;-1.4
1978;3;mar;4.8
1978;4;apr;6.5
1978;5;mai;11.6
1978;6;jun;14.8
1978;7;jul;15.5
1978;8;aug;15.1
1978;9;sep;12.2
1978;10;oct;9.1
1978;11;nov;4.2
1978;12;dec;0.3
1979;1;jan;-4.5
1979;2;feb;-1.8
1979;3;mar;3.7
1979;4;apr;6.3
1979;5;mai;12.4
1979;6;jun;16.5
1979;7;jul;15.3
1979;8;aug;15.5
1979;9;sep;13.1
1979;10;oct;8.6
1979;11;nov;3.7
1979;12;dec;3.8
1980;1;jan;-2.7
1980;2;feb;2.1
1980;3;mar;3.3
1980;4;apr;6
1980;5;mai;10.7
1980;6;jun;14.7
1980;7;jul;15.1
1980;8;aug;16.6
1980;9;sep;13.9
1980;10;oct;8
1980;11;nov;3
1980;12;dec;0.7
1981;1;jan;-1.5
1981;2;feb;-0.4
1981;3;mar;6.8
1981;4;apr;7.8
1981;5;mai;13.2
1981;6;jun;15.3
1981;7;jul;16.3
1981;8;aug;16.4
1981;9;sep;14
1981;10;oct;8.1
1981;11;nov;4.6
1981;12;dec;-2.2
1982;1;jan;-2.3
1982;2;feb;-0.1
1982;3;mar;4.2
1982;4;apr;6.5
1982;5;mai;12.4
1982;6;jun;16.3
1982;7;jul;18.9
1982;8;aug;17.3
1982;9;sep;15.7
1982;10;oct;9.6
1982;11;nov;6
1982;12;dec;2.2
1983;1;jan;4
1983;2;feb;-1.7
1983;3;mar;4.5
1983;4;apr;8.6
1983;5;mai;11.3
1983;6;jun;16.3
1983;7;jul;20.4
1983;8;aug;18.1
1983;9;sep;13.7
1983;10;oct;9.2
1983;11;nov;3.5
1983;12;dec;0.7
1984;1;jan;1.1
1984;2;feb;-0.3
1984;3;mar;2
1984;4;apr;6.8
1984;5;mai;10.8
1984;6;jun;13.7
1984;7;jul;15.9
1984;8;aug;17
1984;9;sep;12.3
1984;10;oct;10.2
1984;11;nov;4.9
1984;12;dec;1.2
1985;1;jan;-5.5
1985;2;feb;-3.1
1985;3;mar;2.8
1985;4;apr;7.6
1985;5;mai;13.3
1985;6;jun;13.5
1985;7;jul;17.4
1985;8;aug;16.2
1985;9;sep;13.5
1985;10;oct;8.8
1985;11;nov;0.8
1985;12;dec;3.7
1986;1;jan;0.1
1986;2;feb;-6.4
1986;3;mar;3
1986;4;apr;6.3
1986;5;mai;14.1
1986;6;jun;15.9
1986;7;jul;17
1986;8;aug;16.3
1986;9;sep;11.3
1986;10;oct;9.6
1986;11;nov;5.8
1986;12;dec;2
1987;1;jan;-5.9
1987;2;feb;-0.3
1987;3;mar;-0.4
1987;4;apr;9.1
1987;5;mai;9.7
1987;6;jun;13.9
1987;7;jul;16.9
1987;8;aug;15.5
1987;9;sep;14.5
1987;10;oct;9.4
1987;11;nov;4.9
1987;12;dec;2.1
1988;1;jan;3.5
1988;2;feb;2.1
1988;3;mar;2.7
1988;4;apr;8
1988;5;mai;14.2
1988;6;jun;15
1988;7;jul;17
1988;8;aug;17
1988;9;sep;13.2
1988;10;oct;9.7
1988;11;nov;3
1988;12;dec;3.4
1989;1;jan;2.5
1989;2;feb;3.4
1989;3;mar;6.98
1989;4;apr;7.2
1989;5;mai;13.8
1989;6;jun;15.3
1989;7;jul;17.7
1989;8;aug;17
1989;9;sep;14.4
1989;10;oct;10.4
1989;11;nov;2.7
1989;12;dec;2.4
1990;1;jan;2.5
1990;2;feb;5.74
1990;3;mar;6.9
1990;4;apr;7.4
1990;5;mai;13.9
1990;6;jun;15.2
1990;7;jul;16.7
1990;8;aug;18.3
1990;9;sep;11.8
1990;10;oct;10.2
1990;11;nov;4.5
1990;12;dec;0.8
1991;1;jan;1.5
1991;2;feb;-2.4
1991;3;mar;6.4
1991;4;apr;7.1
1991;5;mai;9.5
1991;6;jun;13.5
1991;7;jul;19.2
1991;8;aug;17.9
1991;9;sep;14.7
1991;10;oct;8.2
1991;11;nov;3.9
1991;12;dec;0.7
1992;1;jan;1
1992;2;feb;2.8
1992;3;mar;4.8
1992;4;apr;7.8
1992;5;mai;14.5
1992;6;jun;17.3
1992;7;jul;18.6
1992;8;aug;19.1
1992;9;sep;13.4
1992;10;oct;6.5
1992;11;nov;5.4
1992;12;dec;1.3
1993;1;jan;2.5
1993;2;feb;-0.7
1993;3;mar;3.6
1993;4;apr;10.4
1993;5;mai;14.6
1993;6;jun;15.6
1993;7;jul;16.1
1993;8;aug;15.8
1993;9;sep;12.2
1993;10;oct;7.8
1993;11;nov;0.4
1993;12;dec;3.2
1994;1;jan;3
1994;2;feb;-0.2
1994;3;mar;6.3
1994;4;apr;7.9
1994;5;mai;12.6
1994;6;jun;15.9
1994;7;jul;21.3
1994;8;aug;17.8
1994;9;sep;13.2
1994;10;oct;7.6
1994;11;nov;7.2
1994;12;dec;3.6
1995;1;jan;0.2
1995;2;feb;4.6
1995;3;mar;3.1
1995;4;apr;8.5
1995;5;mai;12.2
1995;6;jun;14.3
1995;7;jul;20.1
1995;8;aug;18.3
1995;9;sep;12.6
1995;10;oct;11.8
1995;11;nov;3
1995;12;dec;-1.8
1996;1;jan;-2.8
1996;2;feb;-2.2
1996;3;mar;1
1996;4;apr;8.4
1996;5;mai;11.2
1996;6;jun;15.6
1996;7;jul;15.9
1996;8;aug;17.1
1996;9;sep;10.9
1996;10;oct;9.2
1996;11;nov;4.5
1996;12;dec;-2.4
1997;1;jan;-2.6
1997;2;feb;4.1
1997;3;mar;5.8
1997;4;apr;6.4
1997;5;mai;12.7
1997;6;jun;15.8
1997;7;jul;17.1
1997;8;aug;19.8
1997;9;sep;13.7
1997;10;oct;7.7
1997;11;nov;4
1997;12;dec;2.2
1998;1;jan;2.4
1998;2;feb;4.3
1998;3;mar;5
1998;4;apr;8.8
1998;5;mai;14
1998;6;jun;16.5
1998;7;jul;16.4
1998;8;aug;16.7
1998;9;sep;13.3
1998;10;oct;8.7
1998;11;nov;1.6
1998;12;dec;1
1999;1;jan;2.6
1999;2;feb;0.4
1999;3;mar;5.4
1999;4;apr;8.9
1999;5;mai;13.8
1999;6;jun;15.2
1999;7;jul;19
1999;8;aug;17.2
1999;9;sep;16.8
1999;10;oct;9
1999;11;nov;3.5
1999;12;dec;2.2
2000;1;jan;1.1
2000;2;feb;3.9
2000;3;mar;5.2
2000;4;apr;10.1
2000;5;mai;14.6
2000;6;jun;17
2000;7;jul;15.3
2000;8;aug;17.6
2000;9;sep;13.9
2000;10;oct;10.6
2000;11;nov;6.1
2000;12;dec;3.1
2001;1;jan;0.9
2001;2;feb;2.3
2001;3;mar;4.2
2001;4;apr;7.1
2001;5;mai;14.4
2001;6;jun;14.3
2001;7;jul;18.6
2001;8;aug;18.6
2001;9;sep;11.8
2001;10;oct;12.48
2001;11;nov;3.8
2001;12;dec;-0.2
2002;1;jan;1.2
2002;2;feb;5
2002;3;mar;5.4
2002;4;apr;8.1
2002;5;mai;13.8
2002;6;jun;17.4
2002;7;jul;17.7
2002;8;aug;18.8
2002;9;sep;13.1
2002;10;oct;8.3
2002;11;nov;5.6
2002;12;dec;0.3
2003;1;jan;-0.3
2003;2;feb;-1.9
2003;3;mar;5.3
2003;4;apr;8.5
2003;5;mai;14.1
2003;6;jun;19.35
2003;7;jul;19.1
2003;8;aug;20.6
2003;9;sep;13.8
2003;10;oct;5.9
2003;11;nov;6
2003;12;dec;1.8
2004;1;jan;-0.1
2004;2;feb;2.4
2004;3;mar;4.1
2004;4;apr;9.3
2004;5;mai;11.6
2004;6;jun;15.3
2004;7;jul;16.8
2004;8;aug;18.4
2004;9;sep;14
2004;10;oct;10.1
2004;11;nov;4.2
2004;12;dec;1.1
2005;1;jan;2
2005;2;feb;-1
2005;3;mar;3.6
2005;4;apr;9.3
2005;5;mai;12.8
2005;6;jun;16.4
2005;7;jul;18
2005;8;aug;15.8
2005;9;sep;15
2005;10;oct;11
2005;11;nov;4.2
2005;12;dec;0.9
2006;1;jan;-2.6
2006;2;feb;-0.4
2006;3;mar;1.5
2006;4;apr;8
2006;5;mai;13.1
2006;6;jun;16.8
2006;7;jul;21.99
2006;8;aug;15.5
2006;9;sep;16.9
2006;10;oct;12.1
2006;11;nov;7
2006;12;dec;4.4
2007;1;jan;4.76
2007;2;feb;3.9
2007;3;mar;6.2
2007;4;apr;11.5
2007;5;mai;14.2
2007;6;jun;17.4
2007;7;jul;17.2
2007;8;aug;16.9
2007;9;sep;12.6
2007;10;oct;8.3
2007;11;nov;3.7
2007;12;dec;1.6
2008;1;jan;3.6
2008;2;feb;3.7
2008;3;mar;4.2
2008;4;apr;7.6
2008;5;mai;14.5
2008;6;jun;16.9
2008;7;jul;18
2008;8;aug;17.4
2008;9;sep;12.4
2008;10;oct;9.1
2008;11;nov;5.1
2008;12;dec;1.1
2009;1;jan;-2.2
2009;2;feb;0.5
2009;3;mar;4.3
2009;4;apr;11.8
2009;5;mai;13.6
2009;6;jun;14.8
2009;7;jul;18
2009;8;aug;18.7
2009;9;sep;14.7
2009;10;oct;8.2
2009;11;nov;7.4
2009;12;dec;0.3
2010;1;jan;-3.6
2010;2;feb;-0.5
2010;3;mar;4.2
2010;4;apr;8.7
2010;5;mai;10.4
2010;6;jun;16.3
2010;7;jul;20.3
2010;8;aug;16.7
2010;9;sep;12.4
2010;10;oct;8.1
2010;11;nov;4.8
2010;12;dec;-3.7
2011;1;jan;1
2011;2;feb;0.9
2011;3;mar;4.9
2011;4;apr;11.6
2011;5;mai;13.9
2011;6;jun;16.5
2011;7;jul;16.1
2011;8;aug;17.7
2011;9;sep;15.2
2011;10;oct;9.4
2011;11;nov;4.5
2011;12;dec;3.9
2012;1;jan;1.9
2012;2;feb;-2.5
2012;3;mar;6.9
2012;4;apr;8.1
2012;5;mai;14.2
2012;6;jun;15.5
2012;7;jul;17.4
2012;8;aug;18.4
2012;9;sep;13.6
2012;10;oct;8.7
2012;11;nov;5.2
2012;12;dec;1.5
2013;1;jan;0.2
2013;2;feb;-0.7
2013;3;mar;0.1
2013;4;apr;8.1
2013;5;mai;11.8
2013;6;jun;15.7
2013;7;jul;19.5
2013;8;aug;17.9
2013;9;sep;13.3
2013;10;oct;10.6
2013;11;nov;4.6
2013;12;dec;3.6
2014;1;jan;2.1
2014;2;feb;4.3
2014;3;mar;6.9
2014;4;apr;10.8
2014;5;mai;12.4
2014;6;jun;16.1
2014;7;jul;19.3
2014;8;aug;16
2014;9;sep;14.9
2014;10;oct;11.9
2014;11;nov;6.5
2014;12;dec;2.7
2015;1;jan;2.2
2015;2;feb;0.7
2015;3;mar;5.2
2015;4;apr;8.4
2015;5;mai;12.3
2015;6;jun;15.8
2015;7;jul;19.4
2015;8;aug;19.9
2015;9;sep;13
2015;10;oct;8.4
2015;11;nov;7.5
2015;12;dec;6.5
2016;1;jan;1
2016;2;feb;3.3
2016;3;mar;4
2016;4;apr;7.9
2016;5;mai;13.7
2016;6;jun;17
2016;7;jul;18.6
2016;8;aug;17.7
2016;9;sep;16.9
2016;10;oct;8.5
2016;11;nov;3.8
2016;12;dec;2.2
2017;1;jan;-2.2
2017;2;feb;2.9
2017;3;mar;7.2
2017;4;apr;7.4
2017;5;mai;14.1
2017;6;jun;17.8
2017;7;jul;18.1
2017;8;aug;17.9
2017;9;sep;12.8
2017;10;oct;11.1
2017;11;nov;5.1
2017;12;dec;2.7
2018;1;jan;3.7
2018;2;feb;-1.9
2018;3;mar;2.4
2018;4;apr;12.3
2018;5;mai;16
2018;6;jun;17.7
2018;7;jul;20.3
2018;8;aug;19.9
2018;9;sep;15.1
2018;10;oct;10.7
2018;11;nov;5.2
2018;12;dec;3.9
